source_file,story_relation,story_id,planning_assumption_10,wcag_aa,keyboard,responsive,visual,consistency,performance,verified_evidence_floor_10,full_quality_score_10,priority,finding,evidence_note,screenshot,next_check
src/assets/approval-queue.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/assets/asset-card.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/assets/asset-editor.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/assets/preview/copy-preview.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/assets/preview/email-preview.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/assets/preview/image-preview.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/assets/preview/video-preview.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/assets/variant-compare.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/auth/tangle-login-button.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/chat/agent-profile-picker.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/chat/anchored-popover.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/chat/artifact-agent-dock.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/chat/informative-lock.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/chat/reasoning-level-picker.tsx,no story path,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,No Storybook path; authenticated consumer coverage unavailable.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/connectors/action-list.tsx,direct story,connectors-connectoractionlist--default,2,U,U,U,P,P,U,1.5,unassessed,,No defect established in the sampled first view.,Desktop light/dark captured; fixed-width story fixture blocks a valid narrow reflow conclusion.,screenshots/component-audit-2026-09/story-connectors-connectoractionlist--default-desktop-light.webp,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/connectors/catalog-list.tsx,direct story,connectors-connectorcataloglist--default,2,U,U,U,P,P,U,1.5,unassessed,,No defect established in the sampled first view.,Desktop light/dark captured; fixed-width story fixture blocks a valid narrow reflow conclusion.,screenshots/component-audit-2026-09/story-connectors-connectorcataloglist--default-desktop-light.webp,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/connectors/schema-table.tsx,import reachable,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,Import reachability only; no isolated rendered check.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/dashboard/activity-feed.tsx,import reachable,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,Import reachability only; no isolated rendered check.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/dashboard/app-sidebar.tsx,import reachable,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,Import reachability only; no isolated rendered check.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/dashboard/backend-config.tsx,direct story,dashboard-backendconfig--command-based-provider,2,U,U,P,P,P,U,2.5,unassessed,P2,Rendered remove icon button has no visible text or explicit accessible name.,"Default story captured at 1440x900 and 390x844 in light, 1440x900 in dark; 320px width measured.",screenshots/component-audit-2026-09/story-dashboard-backendconfig--command-based-provider-desktop-light.webp,Name the remove action for its MCP server; test the rendered button name.
src/dashboard/backend-selector.tsx,direct story,dashboard-backendselector--default,2,U,U,U,P,P,U,1.5,unassessed,,No defect established in the sampled first view.,Desktop light/dark captured; fixed-width story fixture blocks a valid narrow reflow conclusion.,screenshots/component-audit-2026-09/story-dashboard-backendselector--default-desktop-light.webp,"Inspect omitted states, keyboard task, screen reader, and consumer route."
src/dashboard/billing-dashboard.tsx,import reachable,,2,U,U,U,U,U,U,0,unassessed,,No isolated rendered state inspected.,Import reachability only; no isolated rendered check.,,"Inspect omitted states, keyboard task, screen reader, and consumer route."
